1,Substation_UNBVN,Substation_at_NIT_Kurukshetra,0.0922,0.0477
2,Substation_at_NIT_Kurukshetra,Training_and_Placement_Cell,0.493,0.2511
3,Training_and_Placement_Cell,H4,0.366,0.1864
4,H4,H5,0.3811,0.1941
5,H5,H6,0.819,0.707
6,H6,H3,0.1872,0.6188
7,H3,H2,1.7114,1.2351
8,H2,H1,1.03,0.74
9,H1,H11,1.04,0.74
10,H11,H8,0.1966,0.065
11,H8,H7,0.3744,0.1238
12,H7,H9,1.468,1.155
13,H9,H10,0.5416,0.7129
14,H10,K._Chawla_Hostel,0.591,0.526
15,K._Chawla_Hostel,Alaknanda_Bhawan,0.7463,0.545
16,Alaknanda_Bhawan,Bhagirathi_Bhawan,1.289,1.721
17,Bhagirathi_Bhawan,Residential_Area-1,0.732,0.574
18,Substation_at_NIT_Kurukshetra,Admin_Building,0.164,0.1565
19,Admin_Building,Market,1.5042,1.3554
20,Market,Residential_Area-2,0.4095,0.4784
21,Residential_Area-2,Ground,0.7089,0.9373
30,Training_and_Placement_Cell,CSE_Deptt,0.4512,0.3083
31,CSE_Deptt,ECE_Block,0.898,0.7091
32,ECE_Block,Library,0.896,0.7011
22,H6,LHC_block,0.203,0.1034
23,LHC_block,MCA_Deptt,0.2842,0.1447
24,MCA_Deptt,SCOE,1.059,0.9337
25,SCOE,Applied_mechanics_block,0.8042,0.7006
26,Applied_mechanics_block,Civil_Deptt,0.5075,0.2585
27,Civil_Deptt,Electrical_Deptt,0.9744,0.963
28,Electrical_Deptt,Road_lighting,0.3105,0.3619
29,Road_lighting,Senate_hall,0.341,0.5302
