From bus,To bus,Current,Impedance,I2RLosses,I2xLosses,Node_voltage
Substation_UNBVN,Substation_at_NIT_Kurukshetra,(323.04347826086956-200j),(0.0922+0.0477j),13309.723591682417,6885.833137996218,11500
Substation_at_NIT_Kurukshetra,Training_and_Placement_Cell,(283.04347826086956-180.8695652173913j),(0.493+0.2511j),55623.91323251418,28330.962703213612,(11315.043217391305+18.09647826086956j)
Training_and_Placement_Cell,H4,(194.34782608695653-138.2608695652174j),(0.366+0.1864j),20820.69527410208,10603.76393194707,(11218.140086956522+32.47352173913043j)
H4,H5,(183.91304347826087-131.30434782608697j),(0.3811+0.1941j),19460.810264650285,9911.685311909263,(11122.564652173913+46.81608695652174j)
H5,H6,(178.69565217391306-128.69565217391306j),(0.819+0.707j),39717.16502835539,34285.757844990556,(10885.225086956521+25.880000000000003j)
H6,H3,(93.47826086956522-44.34782608695653j),(0.1872+0.6188j),2003.9600756143673,6624.201361058603,(10840.28352173913-23.662434782608692j)
H3,H2,(76.08695652173914-35.652173913043484j),(1.7114+1.2351j),12083.001625708888,8720.179565217395,(10666.034304347824-56.622304347826095j)
H2,H1,(58.695652173913054-26.956521739130437j),(1.03+0.74j),4296.988657844993,3087.156899810966,(10585.629956521738-72.2918695652174j)
H1,H11,(53.478260869565226-25.217391304347828j),(1.04+0.74j),3635.674858223063,2586.9224952741024,(10511.351695652173-85.63969565217391j)
H11,H8,(48.2608695652174-23.47826086956522j),(0.1966+0.065j),566.2748960302458,187.22211720226846,(10500.33752173913-84.16082608695652j)
H8,H7,(44.34782608695653-20.869565217391305j),(0.3744+0.1238j),899.4093005671081,297.40083175803414,(10481.15004347826-81.83752173913044j)
H7,H9,(39.1304347826087-17.82608695652174j),(1.468+1.155j),2714.273724007562,2135.5491493383747,(10403.117434782607-100.86447826086957j)
H9,H10,(33.913043478260875-14.782608695652174j),(0.5416+0.7129j),741.2446124763705,975.6892249527411,(10374.21160869565-117.03482608695654j)
H10,K._Chawla_Hostel,(23.47826086956522-7.826086956521739j),(0.591+0.526j),361.97353497164465,322.16257088846885,(10356.219434782606-124.7591739130435j)
K._Chawla_Hostel,Alaknanda_Bhawan,(18.26086956521739-6.956521739130435j),(0.7463+0.545j),284.97655954631375,208.10964083175804,(10338.800043478259-129.51969565217394j)
Alaknanda_Bhawan,Bhagirathi_Bhawan,(13.043478260869566-5.217391304347826j),(1.289+1.721j),254.38865784499058,339.6453686200379,(10313.007869565216-145.24230434782612j)
Bhagirathi_Bhawan,Residential_Area-1,(7.826086956521739-3.4782608695652173j),(0.732+0.574j),53.689224952741014,42.100567107750464,(10305.282652173912-147.18839130434787j)
Substation_at_NIT_Kurukshetra,Admin_Building,(31.304347826086957-13.91304347826087j),(0.164+0.1565j),192.45973534971642,183.65822306238184,(11492.688695652174-2.617391304347826j)
Admin_Building,Market,(23.47826086956522-10.434782608695652j),(1.5042+1.3554j),992.9426086956522,894.7177315689981,(11443.229391304349-18.743826086956524j)
Market,Residential_Area-2,(15.652173913043478-6.956521739130435j),(0.4095+0.4784j),120.14064272211718,140.35478260869564,(11433.491826086958-23.38313043478261j)
Residential_Area-2,Ground,(7.826086956521739-3.4782608695652173j),(0.7089+0.9373j),51.9949338374291,68.74714555765595,(11424.683739130436-28.252782608695654j)
Training_and_Placement_Cell,CSE_Deptt,(80.8695652173913-39.130434782608695j),(0.4512+0.3083j),3641.670170132324,2488.3131947069937,(11266.49095652174+10.820043478260864j)
CSE_Deptt,ECE_Block,(73.04347826086956-34.78260869565217j),(0.898+0.7091j),5877.571266540642,4641.186843100188,(11176.233565217393-9.740304347826093j)
ECE_Block,Library,(36.52173913043478-17.391304347826086j),(0.896+0.7011j),1466.1202268430998,1147.206351606805,(11131.317043478262-19.763086956521743j)
H6,LHC_block,(80-82.60869565217392j),(0.203+0.1034j),2684.5119092627606,1367.3819281663518,(10860.443347826087+34.37756521739131j)
LHC_block,MCA_Deptt,(74.78260869565217-80.43478260869566j),(0.2842+0.1447j),3428.075198487713,1745.3993005671077,(10827.551217391305+46.416086956521745j)
MCA_Deptt,SCOE,(69.56521739130434-78.26086956521739j),(1.059+0.9337j),11610.964083175802,10237.164461247636,(10680.80947826087+64.34130434782608j)
SCOE,Applied_mechanics_block,(64.34782608695652-76.52173913043478j),(0.8042+0.7006j),8038.9595463137985,7003.351228733458,(10575.449826086957+80.798j)
Applied_mechanics_block,Civil_Deptt,(53.91304347826087-70.43478260869566j),(0.5075+0.2585j),3992.844990548204,2033.7939508506618,(10529.88156521739+102.60713043478262j)
Civil_Deptt,Electrical_Deptt,(36.52173913043478-18.26086956521739j),(0.9744+0.963j),1624.613988657845,1605.6068052930054,(10476.70956521739+85.23008695652175j)
Electrical_Deptt,Road_lighting,(23.47826086956522-12.17391304347826j),(0.3105+0.3619j),217.1739130434783,253.12476370510402,(10465.013826086955+80.5133043478261j)
Road_lighting,Senate_hall,(5.217391304347826-3.4782608695652173j),(0.341+0.5302j),13.407939508506615,20.847183364839314,(10461.39052173913+78.93313043478261j)
