From bus,To bus,Current,Impedance,I2RLosses,I2xLosses,Node_voltage
Substation_UNBVN,Substation_at_NIT_Kurukshetra,(323.04347826086956-108.90269151138718j),(0.0922+0.0477j),10715.196803021146,5543.545417615061,11500
Substation_at_NIT_Kurukshetra,Training_and_Placement_Cell,(283.04347826086956-96.39751552795032j),(0.493+0.2511j),44077.20315188457,22449.869597237757,(11336.254149068323-23.54824223602484j)
Training_and_Placement_Cell,H4,(194.34782608695653-72.4223602484472j),(0.366+0.1864j),15743.883731337526,8018.196523282282,(11251.623316770187-33.26809316770186j)
H4,H5,(183.91304347826087-68.7784679089027j),(0.3811+0.1941j),14693.114313276668,7483.425579131465,(11168.184155279503-42.75414078674948j)
H5,H6,(178.69565217391306-67.41200828157349j),(0.819+0.707j),29874.265757493926,25788.89608125544,(10974.172126293995-113.88153209109731j)
H6,H3,(93.47826086956522-23.229813664596275j),(0.1872+0.6188j),1736.8059380425143,5741.108517418311,(10942.29838716356-167.37725879917184j)
H3,H2,(76.08695652173914-18.674948240165634j),(1.7114+1.2351j),10504.53665222107,7581.017423839105,(10789.017741200827-229.3919523809524j)
H2,H1,(58.695652173913054-14.12008281573499j),(1.03+0.74j),3753.8930125295246,2696.971678904707,(10718.112358178052-258.28304968944104j)
H1,H11,(53.478260869565226-13.209109730848862j),(1.04+0.74j),3155.781164135473,2245.4596744810096,(10652.720225672876-284.1194886128365j)
H11,H8,(48.2608695652174-12.298136645962733j),(0.1966+0.065j),487.6379298638172,161.22312024999042,(10642.432759834366-284.83863146997936j)
H8,H7,(44.34782608695653-10.931677018633541j),(0.3744+0.1238j),781.0849766598515,258.27542764553846,(10624.475592132503-286.2360724637682j)
H7,H9,(39.1304347826087-9.337474120082817j),(1.468+1.155j),2375.7808846537996,1869.2281483481872,(10556.247331262937-317.7243126293997j)
H9,H10,(33.913043478260875-7.743271221532091j),(0.5416+0.7129j),655.3645786985242,862.6466177145087,(10532.35984886128-337.7071656314701j)
H10,K._Chawla_Hostel,(23.47826086956522-4.099378881987578j),(0.591+0.526j),335.70788164036884,298.78569499633505,(10516.327923395442-347.6339979296068j)
K._Chawla_Hostel,Alaknanda_Bhawan,(18.26086956521739-3.6438923395445135j),(0.7463+0.545j),258.7700534530132,188.97183321974032,(10500.713915113869-354.8667349896482j)
Alaknanda_Bhawan,Bhagirathi_Bhawan,(13.043478260869566-2.732919254658385j),(1.289+1.721j),228.92791173180052,305.65161837892066,(10479.19751759834-373.79182815735004j)
Bhagirathi_Bhawan,Residential_Area-1,(7.826086956521739-1.8219461697722568j),(0.732+0.574j),47.26313542430204,37.061529690641215,(10472.423024844718-376.9503374741202j)
Substation_at_NIT_Kurukshetra,Admin_Building,(31.304347826086957-7.287784679089027j),(0.164+0.1565j),169.42413572864558,161.67608074105507,(11493.725548654244-3.703933747412008j)
Admin_Building,Market,(23.47826086956522-5.46583850931677j),(1.5042+1.3554j),874.0968234250224,787.6285297635125,(11451.001151138715-27.30465424430642j)
Market,Residential_Area-2,(15.652173913043478-3.6438923395445135j),(0.4095+0.4784j),105.7609505806103,123.55565020210982,(11442.848347826086-33.30048033126294j)
Residential_Area-2,Ground,(7.826086956521739-1.8219461697722568j),(0.7089+0.9373j),45.77163483919087,60.51876616557145,(11435.59272463768-39.34429399585921j)
Training_and_Placement_Cell,CSE_Deptt,(80.8695652173913-20.49689440993789j),(0.4512+0.3083j),3140.356177616604,2145.7708545195014,(11293.446608695653-39.232130434782604j)
CSE_Deptt,ECE_Block,(73.04347826086956-18.21946169772257j),(0.898+0.7091j),5089.234053898812,4018.6813670597408,(11214.934144927536-74.66618426501034j)
ECE_Block,Library,(36.52173913043478-9.109730848861284j),(0.896+0.7011j),1269.4748642242025,993.3357447629334,(11175.82383436853-92.10925672877846j)
H6,LHC_block,(80-43.2712215320911j),(0.203+0.1034j),1679.2969184144988,855.36601657172,(10953.457881987577-113.36947412008283j)
LHC_block,MCA_Deptt,(74.78260869565217-42.13250517598344j),(0.2842+0.1447j),2093.8680991388364,1066.0897746143196,(10926.108091097307-112.2164596273292j)
MCA_Deptt,SCOE,(69.56521739130434-40.99378881987578j),(1.059+0.9337j),6904.478993865978,6087.546776744724,(10814.162625258798-133.75708074534163j)
SCOE,Applied_mechanics_block,(64.34782608695652-40.08281573498965j),(0.8042+0.7006j),4621.958425815189,4026.5407524572515,(10734.332082815734-146.60456728778468j)
Applied_mechanics_block,Civil_Deptt,(53.91304347826087-36.8944099378882j),(0.5075+0.2585j),2165.9154739400487,1103.229852243355,(10697.434008281572-141.81717598343684j)
Civil_Deptt,Electrical_Deptt,(36.52173913043478-9.565217391304348j),(0.9744+0.963j),1388.8423440453687,1372.593572778828,(10652.63592132505-167.66726293995856j)
Electrical_Deptt,Road_lighting,(23.47826086956522-6.3768115942028984j),(0.3105+0.3619j),183.78260869565221,214.20588111741236,(10643.038153209109-174.1840455486542j)
Road_lighting,Senate_hall,(5.217391304347826-1.8219461697722568j),(0.341+0.5302j),10.414365015067148,16.192657862136663,(10640.293026915113-176.3290227743271j)
